,station_id,station_name,station_region,station_county,datetime,level,inflow,outflow,storage,trend,long,lat,row_id
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/2 8:00:00,314.49,,,5.730,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/2 8:00:00,137.17,16.200,,88.380,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/2 8:00:00,162.48,,15.000,29.720,6,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/3 8:00:00,314.48,,,5.730,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/3 8:00:00,137.26,13.000,,89.640,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/3 8:00:00,162.46,,15.000,29.680,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/4 8:00:00,314.47,,,5.720,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/4 8:00:00,137.29,10.100,10.100,90.060,6,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/4 8:00:00,162.44,,15.000,29.630,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/5 8:00:00,314.46,,,5.710,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/5 8:00:00,137.3,13.700,10.500,90.200,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/5 8:00:00,162.42,,15.000,29.580,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/6 8:00:00,314.45,,,5.710,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/6 8:00:00,137.31,10.500,10.500,90.340,6,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/6 8:00:00,162.4,,15.000,29.530,6,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/7 8:00:00,314.6,,,5.800,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/7 8:00:00,137.3,7.260,10.500,90.200,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/7 8:00:00,162.38,,15.000,29.480,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/8 8:00:00,314.58,,,5.800,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/8 8:00:00,137.29,7.260,10.500,90.060,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/8 8:00:00,162.36,,8.000,29.430,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/9 8:00:00,314.62,,,5.810,5,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/9 8:00:00,137.28,8.880,10.500,89.920,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/9 8:00:00,162.36,,8.000,29.430,6,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/10 8:00:00,314.57,,,5.800,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/10 8:00:00,137.27,8.880,10.500,89.780,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/10 8:00:00,162.36,,8.000,29.430,6,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/11 8:00:00,314.56,,,5.770,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/11 8:00:00,137.24,5.640,10.500,89.360,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/11 8:00:00,162.36,,8.000,29.430,6,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/12 8:00:00,314.55,,,5.770,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/12 8:00:00,137.22,7.260,10.500,89.080,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/12 8:00:00,162.35,,8.000,29.410,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/13 8:00:00,314.54,,,5.760,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/13 8:00:00,137.19,5.640,10.500,88.660,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/13 8:00:00,162.33,,8.000,29.360,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/14 8:00:00,314.51,,,5.740,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/14 8:00:00,137.24,17.600,10.500,89.360,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/14 8:00:00,162.39,,8.000,29.510,6,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/15 8:00:00,314.55,,,5.760,5,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/15 8:00:00,137.25,12.100,10.500,89.500,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/15 8:00:00,162.42,,8.000,29.580,5,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/16 8:00:00,314.64,,,5.820,5,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/16 8:00:00,137.27,13.700,10.500,89.780,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/16 8:00:00,162.46,,8.000,29.680,6,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/17 8:00:00,314.7,,,5.860,5,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/17 8:00:00,137.26,8.880,10.500,89.640,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/17 8:00:00,162.51,,8.000,29.800,5,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/18 8:00:00,314.6,,1.500,5.800,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/18 8:00:00,137.25,8.880,10.500,89.500,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/18 8:00:00,162.58,,8.000,29.970,5,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/19 8:00:00,315.02,,10.000,6.130,5,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/19 9:00:00,137.06,70.100,216.000,86.850,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/19 8:30:00,163.4,,100.000,32.050,5,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/20 11:00:00,314.75,25.000,16.000,5.900,5,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/20 10:00:00,138.28,376.000,698.000,104.000,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/20 11:00:00,164.83,,200.000,35.850,5,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/21 8:00:00,314.63,,16.000,5.820,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/21 9:30:00,137.76,322.000,351.000,96.640,4,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/21 8:00:00,163.77,,189.000,33.010,4,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/22 8:00:00,314.52,,8.000,5.750,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/22 8:00:00,137.76,77.800,,96.640,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/22 8:00:00,164.26,,,34.310,5,118.473333,36.537777,18
0,41805350,淌水崖水库,鲁-临朐县,临朐县临朐县,2018/8/22 8:00:00,314.52,,8.000,5.750,4,118.496071,36.128588,12
1,41805400,冶源水库,鲁-临朐,临朐县临朐县,2018/8/22 8:00:00,137.76,77.800,,96.640,5,118.526944,36.404444,14
2,41805588,黑虎山水库,鲁-青州,青州市青州市,2018/8/22 18:00:00,164.68,,36.000,35.440,5,118.473333,36.537777,18
