,datetime,inflow,outflow,influx,outflux,diff,storage,storage,level(m),,a = ,54.45
1,8/19/18 8:00,100,180,360000,648000,-288000,,14600,,,b=,-13577
2,8/19/18 9:00,60,210,216000,756000,-540000,86850000,8685,137.05,137.06,c=,846689
3,8/19/18 10:00,90,210,324000,756000,-432000,86310000,8631,137.01,,,
4,8/19/18 11:00,120,210,432000,756000,-324000,85878000,8587.8,136.98,,,
5,8/19/18 12:00,110,310,396000,1116000,-720000,85554000,8555.4,136.96,,,
6,8/19/18 13:00,280,310,1008000,1116000,-108000,84834000,8483.4,136.90,,,
7,8/19/18 14:00,350,360,1260000,1296000,-36000,84726000,8472.6,136.90,,,
8,8/19/18 15:00,400,410,1440000,1476000,-36000,84690000,8469,136.89,,,
9,8/19/18 16:00,400,410,1440000,1476000,-36000,84654000,8465.4,136.89,,,
10,8/19/18 17:00,400,410,1440000,1476000,-36000,84618000,8461.8,136.89,,,
11,8/19/18 18:00,400,410,1440000,1476000,-36000,84582000,8458.2,136.88,,,
12,8/19/18 19:00,500,500,1800000,1800000,0,84546000,8454.6,136.88,,,
13,8/19/18 20:00,600,450,2160000,1620000,540000,84546000,8454.6,136.88,,,
14,8/19/18 21:00,800,400,2880000,1440000,1440000,85086000,8508.6,136.92,,,
15,8/19/18 22:00,1200,430,4320000,1548000,2772000,86526000,8652.6,137.03,,,
16,8/19/18 23:00,1510,470,5436000,1692000,3744000,89298000,8929.8,137.23,,,
17,8/20/18 0:00,1730,500,6228000,1800000,4428000,93042000,9304.2,137.51,,,
18,8/20/18 1:00,1650,500,5940000,1800000,4140000,97470000,9747,137.82,,,
19,8/20/18 2:00,1410,500,5076000,1800000,3276000,101610000,10161,138.10,,,
20,8/20/18 3:00,1050,500,3780000,1800000,1980000,104886000,10488.6,138.33,,,
21,8/20/18 4:00,910,700,3276000,2520000,756000,106866000,10686.6,138.46,,,
22,8/20/18 5:00,850,700,3060000,2520000,540000,107622000,10762.2,138.51,,,
23,8/20/18 6:00,650,700,2340000,2520000,-180000,108162000,10816.2,138.55,,,
