time,lat,lng,pressure,speed
8/15/18 8:00,27,127.5,998,15
8/15/18 11:00,27.5,127,998,15
8/15/18 14:00,28.1,126.6,996,18
8/15/18 15:00,28.2,126.5,996,18
8/15/18 16:00,28.5,126.5,996,18
8/15/18 17:00,28.8,126.3,996,18
8/15/18 18:00,29,126.2,996,18
8/15/18 19:00,29.2,126,996,18
8/15/18 20:00,29.2,125.8,996,18
8/15/18 21:00,29.3,125.7,996,18
8/15/18 22:00,29.3,125.6,996,18
8/15/18 23:00,29.4,125.5,992,20
8/16/18 0:00,29.5,125.4,992,20
8/16/18 1:00,29.8,125.2,992,20
8/16/18 2:00,29.8,124.8,992,20
8/16/18 3:00,29.8,124.8,992,20
8/16/18 4:00,29.8,124.8,992,20
8/16/18 5:00,29.8,124.8,992,20
8/16/18 6:00,29.9,124.7,992,20
8/16/18 7:00,29.9,124.7,992,20
8/16/18 8:00,29.9,124.6,992,20
8/16/18 9:00,29.9,124.6,992,20
8/16/18 10:00,29.9,124.5,992,20
8/16/18 11:00,30,124.5,990,23
8/16/18 12:00,30,124.5,990,23
8/16/18 13:00,30,124.3,990,23
8/16/18 14:00,30.1,124.2,990,23
8/16/18 15:00,30.2,124.2,990,23
8/16/18 16:00,30.4,124,990,23
8/16/18 17:00,30.5,123.7,990,23
8/16/18 18:00,30.5,123.5,990,23
8/16/18 19:00,30.5,123.3,990,23
8/16/18 20:00,30.4,123,985,23
8/16/18 21:00,30.4,122.8,985,25
8/16/18 22:00,30.4,122.4,985,25
8/16/18 23:00,30.3,122.2,985,25
8/17/18 0:00,30.3,122.1,985,25
8/17/18 1:00,30.3,122.1,982,25
8/17/18 2:00,30.3,122,982,25
8/17/18 3:00,30.4,121.9,982,25
8/17/18 4:00,30.7,121.9,982,25
8/17/18 5:00,31.1,121.4,985,23
8/17/18 6:00,31.1,121.1,985,23
8/17/18 7:00,31.1,120.8,985,23
8/17/18 8:00,31.1,120.6,985,23
8/17/18 9:00,31.2,120.3,985,23
8/17/18 10:00,31.3,119.9,985,23
8/17/18 11:00,31.3,119.5,985,23
8/17/18 12:00,31.4,119.3,985,23
8/17/18 13:00,31.4,119,985,23
8/17/18 14:00,31.6,118.7,985,23
8/17/18 15:00,31.6,118.4,985,23
8/17/18 16:00,31.6,118,985,20
8/17/18 17:00,31.4,117.7,985,20
8/17/18 18:00,31.4,117.6,985,20
8/17/18 19:00,31.4,117.4,985,20
8/17/18 20:00,31.5,117.3,985,20
8/17/18 21:00,31.5,117.1,985,20
8/17/18 22:00,31.6,116.8,985,20
8/17/18 23:00,31.7,116.5,988,18
8/18/18 0:00,31.8,116.3,988,18
8/18/18 1:00,31.8,116.2,988,18
8/18/18 2:00,31.9,116,998,18
8/18/18 3:00,32,115.9,998,18
8/18/18 4:00,32,115.7,998,18
8/18/18 5:00,32.1,115.7,988,18
8/18/18 6:00,32.3,115.5,988,18
8/18/18 7:00,32.3,115.3,988,18
8/18/18 8:00,32.5,115.2,988,18
8/18/18 9:00,32.5,115.1,988,18
8/18/18 10:00,32.6,115.1,988,18
8/18/18 11:00,32.6,114.9,988,18
8/18/18 12:00,32.7,114.8,988,18
8/18/18 13:00,32.7,114.7,988,18
8/18/18 14:00,32.7,114.6,992,16
8/18/18 17:00,32.8,114.5,992,16
8/18/18 20:00,32.9,114.4,992,16
8/18/18 23:00,32.9,114.4,992,16
8/19/18 2:00,33,114.4,992,16
8/19/18 5:00,33,114.4,992,16
8/19/18 8:00,33.3,114.7,992,16
8/19/18 11:00,33.5,115,992,16
8/19/18 14:00,33.7,115.2,995,16
8/19/18 17:00,34.4,115.7,995,16
8/19/18 20:00,34.8,116.2,995,16
8/19/18 23:00,36,116.9,995,16
8/20/18 2:00,37.5,117.9,995,16
8/20/18 5:00,37.9,118.7,995,18
8/20/18 8:00,38.1,119.5,995,18
8/20/18 11:00,38.3,121.1,990,20
8/20/18 14:00,38.5,121.6,990,20
8/20/18 17:00,38.6,122.3,990,18
8/20/18 20:00,38.6,123.6,990,18
8/20/18 23:00,39.1,124.8,990,18
