"","level","storage"
"1",132.87,39.87
"2",132.87,39.87
"3",132.87,39.87
"7",132.82,39.43
"8",132.82,39.43
"9",132.82,39.43
"10",132.82,39.43
"11",132.82,39.43
"12",132.82,39.43
"13",132.82,39.43
"17",132.71,38.46
"18",132.71,38.46
"19",132.71,38.46
"20",132.71,38.46
"21",132.71,38.46
"22",132.71,38.46
"23",132.71,38.46
"28",132.58,37.33
"29",132.57,37.25
"30",132.55,37.08
"31",132.53,36.91
"32",132.52,36.82
"33",132.51,36.74
"34",132.51,36.74
"35",132.5,36.65
"36",132.49,36.57
"37",132.48,36.48
"38",132.47,36.4
"39",132.45,36.23
"40",132.43,36.06
"41",132.42,35.97
"42",132.41,35.89
"43",132.4,35.8
"44",132.38,35.64
"45",132.37,35.56
"46",132.35,35.4
"47",132.31,35.08
"48",132.27,34.77
"49",132.24,34.54
"50",132.22,34.39
"51",132.21,34.32
"52",132.19,34.16
"53",132.17,34.01
"54",132.17,34.01
"55",132.12,33.63
"56",132.09,33.5
"57",132.07,33.25
"58",132.06,33.18
"59",132.05,33.1
"60",132.04,33.02
"61",132.03,32.95
"62",132.01,32.8
"63",132,32.72
"64",132.91,40.22
"65",133.03,41.34
"66",133.21,43.05
"67",133.27,43.62
"68",133.32,44.09
"69",133.37,44.57
"70",133.37,44.57
"71",133.37,44.57
"72",133.53,46.09
"73",133.58,46.56
"74",133.62,46.94
"75",133.68,47.51
"76",133.74,48.09
"77",133.78,48.48
"78",133.82,48.88
"79",133.85,49.18
"80",133.87,49.38
"81",133.88,49.48
"82",133.92,49.88
"83",133.94,50.08
"84",133.97,50.38
"85",134.11,51.78
"86",134.11,51.78
"87",134.11,51.78
"88",134.11,51.78
"89",134.54,56.24
"90",134.63,57.24
"91",134.71,58.13
"92",134.71,58.13
"93",135.28,64.64
"94",135.41,66.14
"95",135.5,67.17
"96",135.56,67.89
"97",135.61,68.49
"98",135.65,68.98
"99",135.57,68.01
"100",135.43,66.37
"101",135.31,64.99
"102",135.19,63.61
"103",135.09,62.46
"104",135.06,62.11
"105",135.05,62
"106",135.07,62.23
"107",135.12,62.69
"108",135.15,63.15
"109",135.17,63.38
"110",135.19,63.61
"111",135.19,63.61
"112",135.19,63.61
"113",135.3,64.87
"114",135.32,65.1
"115",135.35,65.45
"116",135.37,65.68
"117",135.38,65.79
"118",135.41,66.14
"119",135.43,66.37
"120",135.46,66.71
"121",135.47,66.83
"122",135.48,66.94
"123",135.5,67.17
"124",135.5,67.17
"125",135.51,67.29
"126",135.53,67.53
"127",135.54,67.65
"128",135.54,67.65
"129",135.55,67.77
"130",135.56,67.89
"131",135.56,67.89
"132",135.57,68.01
"133",135.57,68.01
"134",135.56,67.89
"135",135.56,67.89
"136",135.56,67.89
"137",135.55,67.77
"138",135.55,67.77
"139",135.54,67.65
"140",135.54,67.65
"141",135.53,67.53
"142",135.53,67.53
"143",135.53,67.53
"144",135.53,67.53
"145",135.54,67.65
"146",135.53,67.53
"147",135.52,67.41
"148",135.51,67.29
"149",135.51,67.29
"150",135.5,67.17
"151",135.5,67.17
"152",135.5,67.17
"153",135.5,67.17
"154",135.5,67.17
"155",135.5,67.17
"156",135.5,67.17
"160",135.49,67.07
"161",135.49,67.07
"162",135.49,67.07
"163",135.49,67.07
"164",135.49,67.07
"165",135.49,67.07
"166",135.49,67.07
"170",135.46,66.71
"171",135.46,66.71
"172",135.46,66.71
"173",135.46,66.71
"174",135.46,66.71
"175",135.46,66.71
"176",135.46,66.71
"181",135.36,65.56
"182",135.36,65.56
"183",135.36,65.56
"184",135.36,65.56
"185",135.36,65.56
"186",135.36,65.56
"187",135.36,65.56
"191",135.34,65.33
"192",135.34,65.33
"193",135.34,65.33
"194",135.34,65.33
"195",135.34,65.33
"196",135.34,65.33
"197",135.34,65.33
"201",135.29,64.76
"202",135.29,64.76
"203",135.29,64.76
"204",135.29,64.76
"205",135.29,64.76
"206",135.29,64.76
"207",135.29,64.76
"211",135.23,64.07
"212",135.23,64.07
"213",135.23,64.07
"214",135.23,64.07
"215",135.23,64.07
"216",135.23,64.07
"217",135.23,64.07
"221",135.18,63.49
"222",135.18,63.49
"223",135.18,63.49
"224",135.18,63.49
"225",135.18,63.49
"226",135.18,63.49
"227",135.18,63.49
"231",135.15,63.15
"232",135.15,63.15
"233",135.15,63.15
"234",135.15,63.15
"235",135.15,63.15
"236",135.15,63.15
"237",135.15,63.15
"242",135,61.43
"243",135,61.43
"244",135,61.43
"245",135,61.43
"246",135,61.43
"247",135,61.43
"248",135,61.43
"252",134.96,60.97
"253",134.96,60.97
"254",134.96,60.97
"255",134.96,60.97
"256",134.96,60.97
"257",134.96,60.97
"258",134.96,60.97
"262",134.93,60.63
"263",134.93,60.63
"264",134.93,60.63
"265",134.93,60.63
"266",134.93,60.63
"267",134.93,60.63
"268",134.93,60.63
"273",134.9,60.29
"274",134.9,60.29
"275",134.9,60.29
"276",134.9,60.29
"277",134.9,60.29
"278",134.9,60.29
"279",134.9,60.29
"283",134.87,59.95
"284",134.87,59.95
"285",134.87,59.95
"286",134.87,59.95
"287",134.87,59.95
"288",134.87,59.95
"289",134.87,59.95
"293",134.83,59.49
"294",134.83,59.49
"295",134.83,59.49
"296",134.83,59.49
"297",134.83,59.49
"298",134.83,59.49
"299",134.83,59.49
"301",134.8,59.15
"302",134.8,59.15
"303",134.8,59.15
"304",134.8,59.15
"305",134.8,59.15
"306",134.8,59.15
"307",134.8,59.15
"311",134.78,58.92
"312",134.78,58.92
"313",134.78,58.92
"314",134.78,58.92
"315",134.78,58.92
"316",134.78,58.92
"317",134.78,58.92
"321",134.73,58.36
"322",134.73,58.36
"323",134.73,58.36
"324",134.73,58.36
"325",134.73,58.36
"326",134.73,58.36
"327",134.73,58.36
"332",134.6,56.9
"333",134.6,56.9
"334",134.6,56.9
"335",134.6,56.9
"336",134.6,56.9
"337",134.6,56.9
"338",134.6,56.9
"340",134.16,52.28
"341",134.16,52.28
"342",133.98,50.48
"343",133.98,50.48
"344",133.69,47.61
"345",133.69,47.61
"346",133.69,47.61
"347",133.69,47.61
"348",133.69,47.61
"349",133.69,47.61
"350",133.69,47.61
"352",133.61,46.85
"353",133.61,46.85
"354",133.61,46.85
"355",133.61,46.85
"356",133.61,46.85
"357",133.61,46.85
"358",133.61,46.85
"372",133.51,45.9
"373",133.51,45.9
"374",133.51,45.9
"375",133.51,45.9
"376",133.51,45.9
"377",133.51,45.9
"378",133.51,45.9
"381",132.82,39.43
"382",132.82,39.43
"383",132.82,39.43
"384",132.82,39.43
"385",132.82,39.43
"386",132.82,39.43
"387",132.82,39.43
"391",132.71,38.46
"392",132.71,38.46
"393",132.71,38.46
"394",132.71,38.46
"395",132.71,38.46
"396",132.71,38.46
"397",132.71,38.46
"402",132.58,37.33
"403",132.57,37.25
"404",132.55,37.08
"405",132.53,36.91
"406",132.52,36.82
"407",132.51,36.74
"408",132.51,36.74
"409",132.5,36.65
"410",132.49,36.57
"411",132.48,36.48
"412",132.47,36.4
"413",132.45,36.23
"414",132.43,36.06
"415",132.42,35.97
"416",132.41,35.89
"417",132.4,35.8
"418",132.38,35.64
"419",132.37,35.56
"420",132.35,35.4
"421",132.31,35.08
"422",132.27,34.77
"423",132.24,34.54
"424",132.22,34.39
"425",132.21,34.32
"426",132.19,34.16
"427",132.17,34.01
"428",132.17,34.01
"429",132.12,33.63
"430",132.09,33.5
"431",132.07,33.25
"432",132.06,33.18
"433",132.05,33.1
"434",132.04,33.02
"435",132.03,32.95
"436",132.01,32.8
"437",132,32.72
"438",132.91,40.22
"439",133.03,41.34
"440",133.21,43.05
"441",133.27,43.62
"442",133.32,44.09
"443",133.37,44.57
"444",133.37,44.57
"445",133.37,44.57
"446",133.53,46.09
"447",133.58,46.56
"448",133.62,46.94
"449",133.68,47.51
"450",133.74,48.09
"451",133.78,48.48
"452",133.82,48.88
"453",133.85,49.18
"454",133.87,49.38
"455",133.88,49.48
"456",133.92,49.88
"457",133.94,50.08
"458",133.97,50.38
"459",134.11,51.78
"460",134.11,51.78
"461",134.11,51.78
"462",134.11,51.78
"463",134.54,56.24
"464",134.63,57.24
"465",134.71,58.13
"466",134.71,58.13
"467",135.28,64.64
"468",135.41,66.14
"469",135.5,67.17
"470",135.56,67.89
"471",135.61,68.49
"472",135.65,68.98
"473",135.57,68.01
"474",135.43,66.37
"475",135.31,64.99
"476",135.19,63.61
"477",135.09,62.46
"478",135.06,62.11
"479",135.05,62
"480",135.07,62.23
"481",135.12,62.69
"482",135.15,63.15
"483",135.17,63.38
"484",135.19,63.61
"485",135.19,63.61
"486",135.19,63.61
"487",135.3,64.87
"488",135.32,65.1
"489",135.35,65.45
"490",135.37,65.68
"491",135.38,65.79
"492",135.41,66.14
"493",135.43,66.37
"494",135.46,66.71
"495",135.47,66.83
"496",135.48,66.94
"497",135.5,67.17
"498",135.5,67.17
"499",135.51,67.29
"500",135.53,67.53
"501",135.54,67.65
"502",135.54,67.65
"503",135.55,67.77
"504",135.56,67.89
"505",135.56,67.89
"506",135.57,68.01
"507",135.57,68.01
"508",135.56,67.89
"509",135.56,67.89
"510",135.56,67.89
"511",135.55,67.77
"512",135.55,67.77
"513",135.54,67.65
"514",135.54,67.65
"515",135.53,67.53
"516",135.53,67.53
"517",135.53,67.53
